,log2fc,padj
TTYH3,0.45876048145877135,0.0035889666264726974
GOLGA8M,0.4030885998227456,0.0035889666264726974
ASNSD1,0.6533926596805273,0.0036225979804041693
TAGLN,0.7100099595406046,0.0036225979804041693
VPS13D,0.580967370400109,0.0036225979804041693
DYNC1H1,0.5405631518841565,0.003630857143528865
ITIH4,0.4822583077997984,0.003637099378120854
POLR1A,0.5950831334915883,0.003682012858723881
EMILIN2,0.396313491162843,0.0037257944385739763
ZNF773,0.4304220417423128,0.0037486690744661486
ATRN,0.5369869309796469,0.0037486690744661486
SLC25A13,0.37211921609675835,0.0037486690744661486
SCRN1,0.5600743954940359,0.0037486690744661486
SFMBT2,0.6939104902308375,0.0037486690744661486
PGBD4,0.5471604237434202,0.003769858173829368
SMAD3,0.5722694519970224,0.003791750342058655
RNF207,0.5226728797065212,0.003791750342058655
NCEH1,0.4256888228684792,0.003791750342058655
ZNF618,0.48548219571765916,0.003791750342058655
EMC1,0.5343193199509368,0.0038376301762475993
MEST,0.5682772519710828,0.0038396351740455966
ARFGEF2,0.6541850415622257,0.003854015091629073
CCDC144BP,0.745148232204256,0.0038818948708432503
ZCCHC14,0.6432572193939681,0.0038818948708432503
DNAJC13,0.518504854245009,0.0038818948708432503
FUCA2,0.39738778428880606,0.003908296925941382
BACE1,0.46914701974612516,0.003908296925941382
URB2,0.5647035796651929,0.0039886085426812734
NID1,0.6590298601779643,0.0039886085426812734
PLA2G4A,0.44579978484590743,0.0039886085426812734
AGPAT3,0.33514756571069704,0.0039886085426812734
SASH1,0.48425682673858805,0.00399536103400087
H6PD,0.4992237711016285,0.0040062314335810294
SETD9,0.3629801318533582,0.0040062314335810294
TIFAB,0.5950380705078706,0.004072069979693025
NCR3LG1,0.6714549837179626,0.004072069979693025
ZNF846,0.574113211546579,0.004072069979693025
TJP2,0.4955460885770373,0.0040790190177298555
KIF13B,0.4888755256598172,0.004280534537046809
RUSC2,0.36798717206898646,0.004280534537046809
NUP93,0.44001313778519435,0.004280534537046809
CHD6,0.6045745798683582,0.0043179867427851236
XPO4,0.6577346697654844,0.0043179867427851236
NFE2L3,0.5625059633291629,0.004368252371554977
ZNF671,0.4778720701226895,0.004368252371554977
TTYH2,0.44919886074360704,0.004368252371554977
FARP2,0.4189882988834417,0.004368252371554977
KCTD20,0.44866865372710496,0.004368252371554977
NUP160,0.5633160497079421,0.004372575063281167
FMO5,0.4365343031104474,0.004372575063281167
TGFBI,0.45989641162599515,0.004372575063281167
EEF1A1P5,0.7861040082074426,0.004372575063281167
CUL1,0.49887065390307583,0.004388524417570546
CDYL2,0.528278839882665,0.004388524417570546
ZNF597,0.4809651137994231,0.004388524417570546
LDLRAD4,0.5355475899011877,0.004388524417570546
PTPN9,0.43378262785178023,0.004388524417570546
ZNF154,0.7577093825894257,0.004388524417570546
DMXL1,0.6396871184960986,0.004388524417570546
NUDT19,0.49685787610573007,0.004388524417570546
UVRAG,0.4358165502383171,0.004388524417570546
RBM22P2,0.15197504571958034,0.004388524417570546
KIAA0930,0.32578259901057915,0.004388524417570546
GIMAP8,0.4159672986487495,0.004388524417570546
HECTD1,0.5988189079485942,0.004388524417570546
ASRGL1,0.38373222779711336,0.004388524417570546
ATAD1,0.5658620347939451,0.004388524417570546
TNFRSF10B,0.5491763207184075,0.004388524417570546
ZNF136,0.5328773911460134,0.004388524417570546
SLC9A7P1,0.46024640441172027,0.004388524417570546
ZNF134,0.49907921181652704,0.004435054671772642
NRIP1,0.655214769848949,0.004435054671772642
CUL4A,0.420016037702692,0.004435054671772642
GLB1,0.32740892459043547,0.004435054671772642
CD36,0.6493731773469396,0.004435054671772642
MBTPS2,0.44704803987403174,0.004435054671772642
HERC2P2,0.9073052366464376,0.004435054671772642
DDX21,0.5401715184762335,0.004435054671772642
C17orf75,0.49130787398825904,0.004435054671772642
DST,0.5753198328684181,0.004496812149576001
DHX57,0.45856503388114156,0.004512581454145396
PPARGC1B,0.5491233347507651,0.004515212997903097
SLC66A3,0.5387055851323135,0.004518462723733882
DNAJC10,0.6093896294583532,0.004595334916801153
THAP9,0.42468223749307343,0.004595334916801153
APOL3,0.5170941016479782,0.004595334916801153
ZNF45,0.5446871153082151,0.004605655807955712
SMG1P7,0.4488404574162026,0.004605655807955712
MCM3AP,0.47028745597140187,0.004605655807955712
FOXO3B,0.5280359971707587,0.004643544960485296
ITPR1,0.5982450044742107,0.004650225358028425
NECAP2,0.3895701741568356,0.004650225358028425
LIG3,0.4535323426087574,0.00465857993056579
ATP9B,0.46346771177851,0.00465857993056579
SLC37A2,0.45836443961810946,0.00465857993056579
ENSG00000283236,0.37983520629537637,0.004659429713378119
HMGB1P6,0.7941458193153852,0.004659429713378119
ACSM3,0.4933732639952071,0.004659429713378119
ACTR8,0.4795228721117528,0.004659429713378119
ERLIN2,0.4675946360205101,0.004692963571679023
VWDE,0.3840675073256549,0.004692963571679023
ZNF600,0.7863315422031394,0.004692963571679023
RCBTB1,0.5572792582439141,0.004692963571679023
KDM4C,0.5087269560161607,0.004692963571679023
TTF2,0.5611323386709022,0.004692963571679023
STIMATE,0.41935857865806714,0.004692963571679023
WWC2,0.5757349674885421,0.004707378279192911
IRF2BP2,0.46720020350153746,0.004707378279192911
